id,sample,target,action,response,action_text,exclude
icrvromvum5k3pqbwr86qggu,WJ,WJ,14,1,donate to activist groups who oppose the bill,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,15,0,mock or insult individuals who support the bill,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,16,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,17,0,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,18,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,19,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,20,1,make a public speech,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,21,0,spray paint political messages in public places,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,22,0,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,23,1,hold meetings to influence the public,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,24,0,refuse to cooperate with the police and other government agencies,FALSE
icrvromvum5k3pqbwr86qggu,WJ,WJ,25,1,participate in a public meeting of representatives and elected officials,FALSE
9haowqx654y68w7fkcz30hba,WJ,PJ,1,0,"disrupt traffic (e.g., blocking roads)",TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,2,0,refuse to accept honours or awards in protest,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,3,1,attend or organise a protest rally,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,4,1,attend or organise a protest march,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,5,0,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem) until the bill is abandoned",TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,6,1,donate to political parties who oppose the bill,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,7,0,enter and refuse to leave a building (occupation),TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,8,0,refuse to work (strike),TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,9,0,deface flags or other national symbols,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,10,0,join or form a group of activists who oppose the bill,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,11,0,do not buy goods or services from companies who support the bill (consumers' boycott),TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,12,1,hold meetings to inform the public,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,13,0,"visit people in their homes to convince them about the issue (canvassing, door knocking)",TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,14,0,donate to activist groups who oppose the bill,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,15,0,mock or insult individuals who support the bill,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,16,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,17,0,"stand or sit in a building and refuse to leave (stand-in, sit-in)",TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,18,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,19,1,paste up posters with political messages in places where it is allowed and encouraged,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,20,1,make a public speech,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,21,0,spray paint political messages in public places,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,22,0,paste up posters with political messages in places where it is not allowed or encouraged,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,23,1,hold meetings to influence the public,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,24,0,refuse to cooperate with the police and other government agencies,TRUE
9haowqx654y68w7fkcz30hba,WJ,PJ,25,1,participate in a public meeting of representatives and elected officials,TRUE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,1,0,"disrupt traffic (e.g., blocking roads)",FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,2,1,refuse to accept honours or awards in protest,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,3,1,attend or organise a protest rally,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,4,1,attend or organise a protest march,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,5,0,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem) until the bill is abandoned",FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,6,0,donate to political parties who oppose the bill,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,7,0,enter and refuse to leave a building (occupation),FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,8,1,refuse to work (strike),FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,9,0,deface flags or other national symbols,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,10,0,join or form a group of activists who oppose the bill,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,11,1,do not buy goods or services from companies who support the bill (consumers' boycott),FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,12,0,hold meetings to inform the public,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,13,0,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,14,0,donate to activist groups who oppose the bill,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,15,0,mock or insult individuals who support the bill,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,16,0,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,17,0,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,18,0,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,19,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,20,1,make a public speech,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,21,0,spray paint political messages in public places,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,22,0,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,23,1,hold meetings to influence the public,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,24,0,refuse to cooperate with the police and other government agencies,FALSE
dhulsw0niw9y7vnoz9uxenev,WJ,PJ,25,1,participate in a public meeting of representatives and elected officials,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,1,0,"disrupt traffic (e.g., blocking roads)",FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,2,0,refuse to accept honours or awards in protest,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,3,0,attend or organise a protest rally,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,4,0,attend or organise a protest march,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,5,0,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem) until the bill is abandoned",FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,6,0,donate to political parties who oppose the bill,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,7,0,enter and refuse to leave a building (occupation),FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,8,0,refuse to work (strike),FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,9,0,deface flags or other national symbols,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,10,0,join or form a group of activists who oppose the bill,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,11,1,do not buy goods or services from companies who support the bill (consumers' boycott),FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,12,1,hold meetings to inform the public,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,13,0,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,14,0,donate to activist groups who oppose the bill,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,15,0,mock or insult individuals who support the bill,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,17,0,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,18,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,19,0,paste up posters with political messages in places where it is allowed and encouraged,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,20,1,make a public speech,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,21,0,spray paint political messages in public places,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,22,0,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,23,1,hold meetings to influence the public,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,24,0,refuse to cooperate with the police and other government agencies,FALSE
6qblo848b4g1mzixbgslw1x6,WJ,WJ,25,1,participate in a public meeting of representatives and elected officials,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,1,0,"disrupt traffic (e.g., blocking roads)",FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,2,1,refuse to accept honours or awards in protest,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,3,1,attend or organise a protest rally,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,4,1,attend or organise a protest march,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,5,0,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem) until the bill is abandoned",FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,6,1,donate to political parties who oppose the bill,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,7,0,enter and refuse to leave a building (occupation),FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,8,0,refuse to work (strike),FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,9,0,deface flags or other national symbols,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,10,1,join or form a group of activists who oppose the bill,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,11,1,do not buy goods or services from companies who support the bill (consumers' boycott),FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,12,0,hold meetings to inform the public,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,13,1,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,14,1,donate to activist groups who oppose the bill,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,15,0,mock or insult individuals who support the bill,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,16,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,17,1,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,18,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,19,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,20,1,make a public speech,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,21,0,spray paint political messages in public places,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,22,1,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,23,1,hold meetings to influence the public,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,24,0,refuse to cooperate with the police and other government agencies,FALSE
7wom5vbwq9lsbl3yph327exc,WJ,PJ,25,1,participate in a public meeting of representatives and elected officials,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,1,0,"disrupt traffic (e.g., blocking roads)",FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,2,0,refuse to accept honours or awards in protest,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,3,1,attend or organise a protest rally,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,4,1,attend or organise a protest march,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,5,0,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem) until the bill is abandoned",FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,6,1,donate to political parties who oppose the bill,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,7,0,enter and refuse to leave a building (occupation),FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,8,0,refuse to work (strike),FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,9,0,deface flags or other national symbols,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,10,1,join or form a group of activists who oppose the bill,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,11,1,do not buy goods or services from companies who support the bill (consumers' boycott),FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,12,1,hold meetings to inform the public,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,13,0,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,14,1,donate to activist groups who oppose the bill,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,15,0,mock or insult individuals who support the bill,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,16,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,17,1,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,18,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,19,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,20,1,make a public speech,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,21,0,spray paint political messages in public places,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,22,0,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,23,1,hold meetings to influence the public,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,24,0,refuse to cooperate with the police and other government agencies,FALSE
yy2hcpw1sq8a2wtbqnzpkrec,WJ,WJ,25,1,participate in a public meeting of representatives and elected officials,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,1,0,"disrupt traffic (e.g., blocking roads)",FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,2,1,refuse to accept honours or awards in protest,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,3,1,attend or organise a protest rally,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,4,1,attend or organise a protest march,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,5,0,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem) until the bill is abandoned",FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,6,1,donate to political parties who oppose the bill,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,7,1,enter and refuse to leave a building (occupation),FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,8,1,refuse to work (strike),FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,9,0,deface flags or other national symbols,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,10,1,join or form a group of activists who oppose the bill,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,11,1,do not buy goods or services from companies who support the bill (consumers' boycott),FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,12,1,hold meetings to inform the public,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,13,1,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,14,1,donate to activist groups who oppose the bill,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,15,0,mock or insult individuals who support the bill,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,16,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,17,1,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,18,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,19,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,20,1,make a public speech,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,21,0,spray paint political messages in public places,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,22,0,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,23,1,hold meetings to influence the public,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,24,0,refuse to cooperate with the police and other government agencies,FALSE
lnytc2roiv150cdd10t9d8l9,WJ,WJ,25,1,participate in a public meeting of representatives and elected officials,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,1,0,"disrupt traffic (e.g., blocking roads)",FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,2,0,refuse to accept honours or awards in protest,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,3,1,attend or organise a protest rally,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,4,1,attend or organise a protest march,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,5,0,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem) until the bill is abandoned",FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,6,0,donate to political parties who oppose the bill,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,7,0,enter and refuse to leave a building (occupation),FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,8,1,refuse to work (strike),FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,9,0,deface flags or other national symbols,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,10,0,join or form a group of activists who oppose the bill,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,11,1,do not buy goods or services from companies who support the bill (consumers' boycott),FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,12,1,hold meetings to inform the public,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,13,1,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,14,0,donate to activist groups who oppose the bill,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,15,0,mock or insult individuals who support the bill,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,16,0,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,17,0,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,18,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,19,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,20,0,make a public speech,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,21,0,spray paint political messages in public places,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,22,0,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,23,1,hold meetings to influence the public,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,24,0,refuse to cooperate with the police and other government agencies,FALSE
o5pc9cgnhxpvyvu5xt9qcra4,WJ,WJ,25,1,participate in a public meeting of representatives and elected officials,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,1,0,"disrupt traffic (e.g., blocking roads)",FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,2,1,refuse to accept honours or awards in protest,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,3,1,attend or organise a protest rally,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,4,1,attend or organise a protest march,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,5,0,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem) until the bill is abandoned",FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,6,1,donate to political parties who oppose the bill,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,7,1,enter and refuse to leave a building (occupation),FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,8,1,refuse to work (strike),FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,9,0,deface flags or other national symbols,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,10,1,join or form a group of activists who oppose the bill,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,11,1,do not buy goods or services from companies who support the bill (consumers' boycott),FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,12,1,hold meetings to inform the public,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,13,1,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,14,1,donate to activist groups who oppose the bill,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,15,0,mock or insult individuals who support the bill,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,16,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,17,1,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,18,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,19,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,20,1,make a public speech,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,21,1,spray paint political messages in public places,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,22,0,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,WJ,23,1,hold meetings to influence the public,FALSE
